Creating surface profile...
Computing temperature evolution...
Visualisation
         40024054 function calls (39816329 primitive calls) in 67.037 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.003    0.000    0.025    0.001 __init__.py:831(_rc_params_in_file)
     4285    0.006    0.000    0.025    0.000 event.py:390(start_event)
       44    0.000    0.000    0.025    0.001 castgraph.py:119(insert_rule)
    13370    0.009    0.000    0.025    0.000 event.py:243(notify)
33448/30625    0.015    0.000    0.025    0.000 abstract.py:117(__hash__)
       44    0.006    0.000    0.025    0.001 castgraph.py:92(propagate)
       22    0.000    0.000    0.025    0.001 arrayobj.py:404(make_view)
      548    0.001    0.000    0.024    0.000 cgutils.py:166(__getitem__)
        1    0.000    0.000    0.024    0.024 art3d.py:1(<module>)
       12    0.000    0.000    0.024    0.002 _docstring.py:51(__missing__)
        1    0.000    0.000    0.024    0.024 lowering.py:268(create_cpython_wrapper)
        1    0.000    0.000    0.024    0.024 cpu.py:175(create_cpython_wrapper)
     3707    0.002    0.000    0.024    0.000 base.py:1246(enter_fn)
      298    0.002    0.000    0.024    0.000 cgutils.py:362(alloca_once)
      309    0.001    0.000    0.023    0.000 lowering.py:1462(delvar)
      322    0.007    0.000    0.023    0.000 numpy_support.py:357(ufunc_find_matching_loop)
      213    0.012    0.000    0.023    0.000 artist.py:1457(<listcomp>)
       11    0.000    0.000    0.023    0.002 lowering.py:336(init)
       11    0.001    0.000    0.023    0.002 lowering.py:349(_find_singly_assigned_variable)
        1    0.000    0.000    0.023    0.023 _xlrd.py:64(get_sheet_data)
        1    0.000    0.000    0.022    0.022 nrt.py:19(initialize)
       11    0.000    0.000    0.022    0.002 untyped_passes.py:1691(run_pass)
      552    0.001    0.000    0.022    0.000 context.py:374(resolve_value_type)
        1    0.000    0.000    0.022    0.022 nrtdynmod.py:205(compile_nrt_functions)
      181    0.009    0.000    0.022    0.000 _xlrd.py:120(<listcomp>)
        2    0.000    0.000    0.022    0.011 config.py:1(<module>)
      207    0.000    0.000    0.022    0.000 templates.py:481(apply)
     1980    0.008    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
       34    0.000    0.000    0.022    0.001 base.py:896(call_internal_no_propagate)
      207    0.001    0.000    0.022    0.000 templates.py:272(_select)
        1    0.000    0.000    0.022    0.022 _decorators.py:1(<module>)
      207    0.004    0.000    0.021    0.000 context.py:592(resolve_overload)
   131790    0.021    0.000    0.021    0.000 {method 'startswith' of 'str' objects}
